Name Alt Az
BLOCK-328_001  45.13 -162.87
BLOCK-328_002  61.07 -160.44
BLOCK-328_003  74.56 -150.11
BLOCK-328_004  45.38 -141.80
BLOCK-328_005  61.30 -125.97
BLOCK-328_006  45.61 -122.67
BLOCK-328_007  45.59 -103.39
BLOCK-328_008  58.22  -98.99
BLOCK-328_009  70.99  -94.59
BLOCK-328_010  45.64  -82.98
BLOCK-328_011  64.92  -62.20
BLOCK-328_012  45.64  -59.90
BLOCK-328_013  57.83  -36.48
BLOCK-328_014  45.28  -28.73
BLOCK-328_015  48.54  -14.80
BLOCK-328_016  49.63    0.47
BLOCK-328_017  62.97    0.71
BLOCK-328_018  76.30    1.38
BLOCK-328_019  48.38   15.68
BLOCK-328_020  44.98   29.47
BLOCK-328_021  57.46   37.47
BLOCK-328_022  45.10   60.42
BLOCK-328_023  64.37   63.00
BLOCK-328_024  45.02   83.25
BLOCK-328_025  70.37   94.65
BLOCK-328_026  57.60   99.03
BLOCK-328_027  44.98  103.44
BLOCK-328_028  45.08  122.53
BLOCK-328_029  60.79  125.51
BLOCK-328_030  44.99  141.50
BLOCK-328_031  74.24  148.40
BLOCK-328_032  60.85  159.58
BLOCK-328_033  44.95  162.48
BLOCK-328_034  50.36  179.72
